173	Alfred Duma	\N	2020-05-29 20:13:35.63242	2020-05-29 20:13:35.63242	KZN238	LocalMunicipality	5	37
174	Amahlathi	\N	2020-05-29 20:13:35.634984	2020-05-29 20:13:35.634984	EC124	LocalMunicipality	9	3
175	Ba-Phalaborwa	\N	2020-05-29 20:13:35.63686	2020-05-29 20:13:35.63686	LIM334	LocalMunicipality	6	22
176	Beaufort West	\N	2020-05-29 20:13:35.638464	2020-05-29 20:13:35.638464	WC053	LocalMunicipality	4	7
177	Bela-Bela	\N	2020-05-29 20:13:35.639836	2020-05-29 20:13:35.639836	LIM366	LocalMunicipality	6	39
178	Bergrivier	\N	2020-05-29 20:13:35.64848	2020-05-29 20:13:35.64848	WC013	LocalMunicipality	4	40
179	Big Five Hlabisa	\N	2020-05-29 20:13:35.650855	2020-05-29 20:13:35.650855	KZN276	LocalMunicipality	5	35
180	Bitou	\N	2020-05-29 20:13:35.652404	2020-05-29 20:13:35.652404	WC047	LocalMunicipality	4	14
181	Blouberg	\N	2020-05-29 20:13:35.653825	2020-05-29 20:13:35.653825	LIM351	LocalMunicipality	6	6
182	Blue Crane Route	\N	2020-05-29 20:13:35.655207	2020-05-29 20:13:35.655207	EC102	LocalMunicipality	9	29
183	Breede Valley	\N	2020-05-29 20:13:35.65684	2020-05-29 20:13:35.65684	WC025	LocalMunicipality	4	5
184	Bushbuckridge	\N	2020-05-29 20:13:35.658528	2020-05-29 20:13:35.658528	MP325	LocalMunicipality	2	11
185	Cape Agulhas	\N	2020-05-29 20:13:35.659865	2020-05-29 20:13:35.659865	WC033	LocalMunicipality	4	27
186	Cederberg	\N	2020-05-29 20:13:35.661143	2020-05-29 20:13:35.661143	WC012	LocalMunicipality	4	40
187	City of Matlosana	\N	2020-05-29 20:13:35.66262	2020-05-29 20:13:35.66262	NW403	LocalMunicipality	3	9
188	Collins Chabane	\N	2020-05-29 20:13:35.664031	2020-05-29 20:13:35.664031	LIM345	LocalMunicipality	6	38
189	Dannhauser	\N	2020-05-29 20:13:35.665361	2020-05-29 20:13:35.665361	KZN254	LocalMunicipality	5	2
190	Dawid Kruiper	\N	2020-05-29 20:13:35.666793	2020-05-29 20:13:35.666793	NC087	LocalMunicipality	8	43
191	Dihlabeng	\N	2020-05-29 20:13:35.668201	2020-05-29 20:13:35.668201	FS192	LocalMunicipality	7	32
192	Dikgatlong	\N	2020-05-29 20:13:35.670158	2020-05-29 20:13:35.670158	NC092	LocalMunicipality	8	13
193	Dipaleseng	\N	2020-05-29 20:13:35.671893	2020-05-29 20:13:35.671893	MP306	LocalMunicipality	2	15
194	Ditsobotla	\N	2020-05-29 20:13:35.673443	2020-05-29 20:13:35.673443	NW384	LocalMunicipality	3	24
195	Dr Beyers Naudé	\N	2020-05-29 20:13:35.674993	2020-05-29 20:13:35.674993	EC101	LocalMunicipality	9	29
196	Dr JS Moroka	\N	2020-05-29 20:13:35.676748	2020-05-29 20:13:35.676748	MP316	LocalMunicipality	2	25
197	Dr Nkosazana Dlamini Zuma	\N	2020-05-29 20:13:35.678485	2020-05-29 20:13:35.678485	KZN436	LocalMunicipality	5	16
198	Drakenstein	\N	2020-05-29 20:13:35.680276	2020-05-29 20:13:35.680276	WC023	LocalMunicipality	4	5
199	eDumbe	\N	2020-05-29 20:13:35.682172	2020-05-29 20:13:35.682172	KZN261	LocalMunicipality	5	44
200	Elias Motsoaledi	\N	2020-05-29 20:13:35.684085	2020-05-29 20:13:35.684085	LIM472	LocalMunicipality	6	31
201	Elundini	\N	2020-05-29 20:13:35.685384	2020-05-29 20:13:35.685384	EC141	LocalMunicipality	9	18
202	eMadlangeni	\N	2020-05-29 20:13:35.686749	2020-05-29 20:13:35.686749	KZN253	LocalMunicipality	5	2
203	Emakhazeni	\N	2020-05-29 20:13:35.688181	2020-05-29 20:13:35.688181	MP314	LocalMunicipality	2	25
204	Emalahleni	\N	2020-05-29 20:13:35.689727	2020-05-29 20:13:35.689727	EC136	LocalMunicipality	9	8
205	Emalahleni	\N	2020-05-29 20:13:35.697729	2020-05-29 20:13:35.697729	MP312	LocalMunicipality	2	25
206	Emfuleni	\N	2020-05-29 20:13:35.699572	2020-05-29 20:13:35.699572	GT421	LocalMunicipality	1	30
207	Emthanjeni	\N	2020-05-29 20:13:35.7014	2020-05-29 20:13:35.7014	NC073	LocalMunicipality	8	28
208	Endumeni	\N	2020-05-29 20:13:35.703071	2020-05-29 20:13:35.703071	KZN241	LocalMunicipality	5	36
209	Engcobo	\N	2020-05-29 20:13:35.704333	2020-05-29 20:13:35.704333	EC137	LocalMunicipality	9	8
210	Enoch Mgijima	\N	2020-05-29 20:13:35.705826	2020-05-29 20:13:35.705826	EC139	LocalMunicipality	9	8
211	Ephraim Mogale	\N	2020-05-29 20:13:35.707391	2020-05-29 20:13:35.707391	LIM471	LocalMunicipality	6	31
212	Fetakgomo/Greater Tubatse	\N	2020-05-29 20:13:35.709004	2020-05-29 20:13:35.709004	LIM476	LocalMunicipality	6	31
213	Ga-Segonyana	\N	2020-05-29 20:13:35.710337	2020-05-29 20:13:35.710337	NC452	LocalMunicipality	8	19
214	Gamagara	\N	2020-05-29 20:13:35.711711	2020-05-29 20:13:35.711711	NC453	LocalMunicipality	8	19
